text,label
Musician Performs Drive-By Concerts to Spread Joy,0
Here’s What Happens to the Body After Contracting the New Coronavirus,0
Dad Invents Candy Chute for Kids' Halloween Safety,0
Heart Patients: Ask About Home-Based Cardiac Rehab,0
Novel COVID-19 survey takes nation’s social,0
Food Banks Facing Shortages Due to Coronavirus,0
How Effective is the Flu Vaccine?,0
Pfizer Contracts With Feds for Vaccine Delivery,0
Will Your COVID-19 Mask Protect You from Wildfire Smoke?,0
How Accurate Are COVID-19 Diagnostic and Antibody Tests?,0
NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,0
Election years in the United States coincide with major disease outbreaks.,1
Environmental Cleaning and Disinfection Recommendations,0
Antiviral Drug Combo Ineffective Vs. Coronavirus,0
Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.,1
Vitamin C stops or slows novel coronavirus.,1
Study: Coronavirus May Pass From Mom to Baby,0
George Stephanopoulos Diagnosed With Coronavirus,0
COVID-19: Dr. Fauci quizzed at Healthline Town Hall meeting,0
Commercial Labs,0
"Recommendations for Disaster Sheltering of Household Pets, Service Animals, and Support Animals during the COVID-19 Pandemic",0
Mild Cases May Be Driving Coronavirus Spread,0
Oncologists Need to Advocate for Scarce COVID-19 Resources: ASCO,0
U.S. State and Local Public Health Laboratories Reporting to CDC,0
Contact Tracing,0
How People in Addiction Recovery Are Dealing with the Isolation of COVID-19,0
Another COVID-19 Vaccine Being Tested in Mice,0
Madagascar does not have any cases of the coronavirus,1
Hopes for Pandemic Respite This Spring May Depend Upon What Happens Indoors,0
Employees: How to Cope with Job Stress and Build Resilience During the COVID-19 Pandemic,0
Supreme Court Justice Ginsburg Home From Hospital,0
Evidence used to update the list of underlying medical conditions that increase a person’s risk of severe illness from COVID-19,0
Why Do Black Men Fare Worse With Prostate Cancer?,0
COVID-19 live updates: Total number of cases passes 3.2 million,0
Black Children at Higher Odds for ADHD,0
Guidance for Reopening Buildings After Prolonged Shutdown or Reduced Operation,0
Sidewalk Chalk Used to Spread Joy Amid Pandemic,0
Vaccines 101: Everything to Know While Waiting for the COVID-19 Vaccine,0
COVID-19: 8 Steps for Getting Ready to See Patients Again,0
CDC Media Telebriefing: Update on COVID-19,0
Why Are Some COVID-19 Infected People Asymptomatic?,0
First human trial of SARS-CoV-2 vaccine: Initial results in,0
Youth Sports Program FAQs,0
Most U.S. Women Under 50 Use Contraception: Report,0
Can coronavirus cause diarrhea?,0
Is Arthritis Pain Relief as Close as Your Spice Rack?,0
COVID-19 By the Numbers,0
A 2015 research article about a lab-made coronavirus referred to the current outbreak.,1
Trump: Toughest COVID-19 Weeks To Come,0
US Homeland Security mobilizing National Guard to combat coronavirus.,1
Walmart is adopting a staggered schedule due to the coronavirus.,1
AmazonÕs Alexa says the government released the coronavirus.,1
Says a Ò5G Law Passed while everyone was distractedÓ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,1
Financial Resources,0
“For the World Health Organization the international entity whose sole responsibility it is to alert the world of global pandemics like this to miss this is a huge problem.”,1
“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,1
Beauty Industry Group Sues Over Shop Closings,0
A U.S. House bill would give government the power to forcibly take your family members from your home and quarantine them.,1
You Can Get the Flu and COVID-19 at the Same Time: What You Should Know,0
How the Novel Coronavirus Spreads in Public Places and How to Protect Yourself,0
Could COVID-19 impact great apes?,0
Why a Flu Shot Is Essential for People with Heart Disease,0
Considerations for Preventing Spread of COVID-19 in Assisted Living Facilities,0
The Simple Science Behind Why Masks Work,0
Cleveland Clinic Offers Free COVID-19 Online Screening Tool,0
The photo shows a packed beach in Bloemfontein South Africa during the country’s coronavirus lockdown.,1
For Parents: Multisystem Inflammatory Syndrome in Children (MIS-C) associated with COVID-19,0
Strategies to Allocate Ventilators from Stockpiles to Facilities,0
COVID-19 Employer Information for Banks,0
COVID-19 May Delay Some Cancer Treatments,0
Fauci: Pre-Labor Day Numbers 'Unacceptably High',0
NIAID strategic plan details COVID-19 research priorities,0
Uncovering the Achilles Heel of Viruses,0
Health Education Campus Will Temporarily Convert As a Medical Surge Hospital Location,0
COVID Rates Likely 10 Times Higher Than Reported,0
New 'Universal' Target for Antiviral Treatment,0
Managing Investigations During an Outbreak,0
COVID-19 frontline healthcare workers at risk of mental health problems,0
"Bill Gates warned in 2015 that we were unprepared for an infectious virus""",0
"Amid PPE Shortage, Clinicians Face Harassment, Firing for Self-Care",0
"COVID-19 Daily: Ventilator Protocols Questioned, Physician Rights",0
U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Overall Percentage of Visits for ILI,0
Coronavirus has been found in crab legs.,1
Fauci: Don't Count on Summer Driving Virus Away,0
New York Orders Hospitals to Increase Capacity,0
Evaluating Case Investigation and Contact Tracing Success,0
"Eradicating dracunculiasis: Ethiopia investigates six suspected human cases in Gambella region""",0
Says if you’re refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested not required.”,1
Transcript for CDC Telebriefing on New Resources and Tools to Support Opening Schools,0
“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,1
More Layers Are Better With Homemade Face Masks,0
On the COVID-19 Front Line: What It’s Like in Hospitals in Texas and Arizona Now,0
"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",0
COVID-19 Employer Information for Public Health Inspectors,0
COVID-19: Calls to NYC Crisis Hotline Soar,0
A Pentagon study found that people who get the flu vaccine are 36% more likely to get COVID-19.,1
"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó",1
"Population Point Prevalence of SARS-CoV-2 Infection Based on a Statewide Random Sample - Indiana, April 25-29, 2020",0
Expert: Darkest Weeks of Pandemic Are Yet to Come,0
"Child Hospitalization Rates Similar With COVID, Flu",0
COVID-19 Breast Cancer Patient Triage Guidelines (CPBCC),0
Wearing masks for the coronavirus “decreases oxygen intake increases toxin inhalation shuts down immune system increases virus risk scientifically inaccurate effectiveness not studied.”,1
Trump Could Suffer ‘Reversal’ in COVID Treatment,0
Returning from International Travel,0
Stroke Scans Could Reveal COVID-19 Infection,0
Severe COVID-19: Study investigates a possible underlying,0
Interim Guidance for Syringe Services Programs,0
Blood pressure drugs may improve COVID-19 survival,0
What You Can Do,0
Clinical Care Guidance for Healthcare Professionals about Coronavirus (COVID-19),0
FDA Authorizes New Saliva COVID-19 Test,0
People Who Test Positive for COVID-19 After Recovering Aren't Infectious,0
COVID-19 Forecasting: Background Information,0
Trials Test Survivors' Blood as COVID-19 Treatment,0
COVID-19 Employer Information for Office Buildings,0
Solidarity Therapeutics Trial produces conclusive evidence on the effectiveness of repurposed drugs for COVID-19 in record time,0
COVID-19 Vaccine Likely Won’t Be Mandatory,0
"Despite New Safety Guidelines, Experts Say Movie Theaters Are High-Risk",0
What Beauty Salon and Barbershop Employees Need to Know about COVID-19,0
Missouri Hairstylists Not linked to COVID-19 Cases,0
Theaters Reopening in July With Mask Guidelines,0
What's Behind Severe Kids' Illness After COVID-19?,0
"COMMENTARY: Dermatologist First, Businessman Second: Life During COVID-19",0
COVID-19: Millions of Older Americans Going Hungry,0
"Cleveland Clinic Sends Caregivers To New York, Michigan To Assist In COVID-19 Efforts",0
U.S. Rural Areas Also See COVID-19 Increases,0
The Unusual COVID-19 Symptoms You Can Miss,0
Use of Cloth Face Coverings to Help Slow the Spread of COVID-19,0
NYC Will Fine People Who Don't Wear Masks,0
"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies",0
Funeral Homes Ponder Deaths In The Age Of COVID-19,0
Why COVID-19 is Hitting Men Harder Than Women,0
Interim Considerations for K-12 School Administrators for SARS-CoV-2 Testing,0
Can You Protect Kids from COVID-19 at School?,0
What type of cells does the novel coronavirus attack?,0
Controlled human infection models and SARS-CoV-2 vaccine development,0
Previous U.S. COVID-19 Case Data,0
"Bouncing, Sticking, Exploding Viruses: Understanding the Surface Chemistry of SARS-CoV-2",0
Antibodies Tested as Possible COVID Treatment,0
Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”,1
Study Finds Ibuprofen Likely Doesn’t Make COVID-19 Symptoms Worse,0
"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.",1
A post say Òhair weave and lace fronts manufactured in China may contain the coronavirus.Ó,1
Gen Z Is Taking COVID-19 Pandemic Seriously: Here’s Why,0
What You Can Do If There’s a Shortage of Disinfectants in Your Area,0
Is the flu contagious?,0
"Trends in Number and Distribution of COVID-19 Hotspot Counties - United States, March 8-July 15, 2020",0
"In WHO global pulse survey, 90% of countries report disruptions to essential health services since COVID-19 pandemic",0
Tiny Antibody Component Highly Effective Against SARS-COV-2 in Animal Studies,0
Cleveland Whiskey Collaborates with Cleveland Clinic to Supply Hand Sanitizer to the Health System,0
"ESC Guidance on CVD Diagnosis, Management Amid COVID-19",0
Air Conditioning May Be Spreading COVID,0
General Contact Tracing and Case Investigation Training Modules,0
COVID-19 significantly impacts health services for noncommunicable diseases,0
Blood Pressure Medicines Don’t Increase COVID-19 Risk,0
"How Do Americans View the Virus? Anthropology Professor Examines Attitudes, Perceptions of COVID-19",0
Letter from the Editor: A week of bitter truths,0
Considerations for Youth Sports,0
COVID-19 symptoms in kids: What do children experience?,0
Infection Prevention and Control in Diverse Settings,0
The coronavirus has been ÒreleasedÓ by China [É] it was purposely propagated by the Chinese themselves.,1
Lab-Created Virus Can Help COVID-19 Research,0
Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,0
Social Distancing,0
Recommendations for Tribal Ceremonies and Gatherings During the COVID-19 Outbreak,0
A Facebook post shared more than 29000 times claims people in Pennsylvania who do not wear a face mask in public during the novel coronavirus pandemic risk a $500 fine and up to six months in jail.,1
There’s a Difference Between Quarantine and Isolation: What You Should Know,0
Why Women Are Taking the COVID-19 Pandemic More Seriously Than Men,0
Cardiac Arrests Out-of-Hospital Soar During COVID-19 in Italy,0
"COVID-19 Daily: Topol Laments Betrayal, HCP Couples Prepare",0
"No Hugs: How the COVID-19 Pandemic Has Impacted Palliative, Hospice Care",0
IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,1
Racial inequalities in health: What MNT's experts want you to,0
Can an old method help doctors fight COVID-19?,0
New York City could pay to house its homeless population in hotel rooms currently sitting vacant but Mayor Bill de Blasio “has absolutely to this point refused to do that.”,0
2020 Olympics Unlikely to Start in July,0
A poem about people staying home was written by Kathleen OÕMara in 1869.,1
Scientists discover COVID-19 symptoms appear in a specific,0
Preventing and Mitigating SARS-CoV-2 Transmission - Four Overnight Camps,0
Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,1
No Benefit Found in Using Broad-Spectrum Antibiotics as Initial Pneumonia Treatment,0
Giroir Says Rapid COVID-19 Tests Will Go to States,0
COVID-19 Recovery at Home Possible for Most Patients,0
"The Week That Wasn't in COVID-19: Elon Musk, 'Pandemic' Scientist",0
Talking with children about Coronavirus Disease 2019,0
Multi-Level Distancing Is Best Against COVID-19: Study,0
"Coronaviruses: Symptoms, treatments, and variants",0
Dentists Are Reporting a Low Rate of COVID-19: Here’s Why,0
The Importance of Reopening America’s Schools this Fall,0
FDA Oks COVID Test Using Gene-Editing Technology,0
“First volunteer in UK coronavirus vaccine trial has died.”,1
"Current US Visa Rules Restrict, Limit COVID-19 Physician Pool",0
Guidance Documents,0
Interim Guidance on Developing a COVID-19 Case Investigation & Contact Tracing Plan: Overview,0
"A post shared more than 165,000 times on Facebook includes a video of a woman turning a baby wipe into a face mask to Òprotect against coronavirus.Ó",1
"Joe Biden says Trump admin isn’t doing enough to protect workers from COVID-19""",0
FDA Warns of Painkiller Risk During Pregnancy,0
Says Nancy PelosiÕs Òdaughter is on the board of the Kennedy Center so thatÕs why it was so important to send them all that money.Ó,1
Cleveland Clinic Akron General to Open COVID-19 Testing Site in Akron,0
Radio host Rush Limbaugh compares novel coronavirus to Òthe common cold.Ó,1
Vice President Mike Pence was caught on a hot mic delivering empty boxes of personal protective equipment (PPE) to a Virginia health care center.,1
Fauci and Other Experts Debate When Our COVID-19 Lives Will Return to Normal,0
"Mask Use by Americans Now Tops 90%, Poll Finds",0
Commercial Labs,0
"Colleges’ Opening Fueled 3,000 COVID Cases a Day, Researchers Say",0
eCR Now: COVID-19 Electronic Case Reporting for Healthcare Providers,0
Rising Cases Sparks More Face Mask Requirements,0
"Mother Transmitted COVID-19 to Baby During Pregnancy, Physicians Report",0
Dental Settings,0
"Still going in to work in Pennsylvania? Chances are, you're a low-wage worker, data show""",0
Chicago Schools Reverse Course to Remote Learning,0
Shifting goalposts: Research in the time of the coronavirus,0
What Parents Should Know About the CDC’s Guidelines for Reopening Schools,0
"Global partnership to make available 120 million affordable, quality COVID-19 rapid tests for low- and middle-income countries",0
Other Populations,0
What To Know If Your Surgery Has Been Put on Hold,0
"COVID-19 Daily: Hospital Mortality Data, Drug Trial Raises Eyebrows",0
FDA Tightens Rules on Antibody Testing,0
Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,1
Interim Guidance for Homeless Service Providers to Plan and Respond to Coronavirus Disease 2019 (COVID-19),0
"COVID Hits Minorities Hardest in Nursing Homes, Too",0
Playing Sports,0
Heart and Lung Damage from COVID-19 Can Improve Over Time If Rehab Starts Early,0
ECOSOC Informal Briefing on 'Joining Forces: Effective Policy Solutions for Covid-19 Response',0
Amount of COVID Viral RNA Detected at Hospital Admission Predicts How Patients Will Fare,0
How to care for someone with depression during the COVID,0
Older Adults Are More at Risk for COVID-19. So Why Don’t Vaccine Trials Include Them?,0
"China's Controls May Have Headed Off 700,000 COVID-19 Cases: Study",0
Antibody Blockade Effective in Treatment of Severe COVID-19,0
Telecommunications worker exposed circuit boards being installed in 5G towers bearing markings that read “COV-19”.,1
COVID-19 Travel Recommendations by Country,0
The U.S. Occupational Safety and Health Administration (OSHA) says masks don’t work and violate OSHA oxygen levels.,1
Study Will Track Coronavirus in Kids and Family,0
A video has been shared thousands of times on social media claiming that circuit boards with “COV-19” inscribed on them are being fitted to 5G towers.,1
"#BeActive for the UN International Day of Sport for Development and Peace""",0
Vaccine misinformation can be dispelled by conversation,0
North Carolina’s health department is “telling hospitals that if they decide to do elective surgeries they won’t be eligible to receive (protective equipment) from the state.”,1
Standard Operating Procedure (SOP) for Triage of Suspected COVID-19 Patients in non-US Healthcare Settings: Early Identification and Prevention of Transmission during Triage,0
"Claim that televangelist Pat Robertson said some young people Òare doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladiesÕ private parts and thatÕs where I think the (corona)virus came from.Ó",1
Trending Clinical Topic: COVID Toes,0
Anthony Fauci co-authored a study published in 2008 showing that Spanish flu deaths were due to bacterial pneumonia from wearing face masks,1
Nearly 1/2 School Staffs Face Increased COVID Risk,0
Study: Many Seniors Were Unfazed by COVID Warnings,0
Promising Path Found for COVID-19 Therapeutics,0
Coronavirus Survives on Surfaces for Weeks: Study,0
How Colleges Have Become COVID-19 Superspreaders,0
"Nonwhite patients more likely to have severe COVID-19, study",0
"Interim Guidelines for Collecting, Handling, and Testing Clinical Specimens from Persons for Coronavirus Disease 2019 (COVID-19)""",0
BelgiumÕs health minister banned sex inside or with 3 or more people.,1
Preventing the Spread of COVID-19 in a Variety of Settings Throughout Your Community,0
Remdesivir & COVID Studies Find Different Results,0
First Confirmed U.S. Cases of COVID Reinfections,0
US Cities With Pro Sports See More Flu Deaths,0
Clinical trials of monoclonal antibodies to prevent COVID-19 now enrolling,0
Autoimmunity may be rising in the United States,0
Big Babies May Face Higher Lifelong A-Fib Risk,0
President Donald Trump tweeted “Some oldies will have to die. We’re in God’s hands folks! Liberate America!”,1
"“In West Virginia alone, overdoses have increased by 50% during the #COVID-19 pandemic.”",0
Interim guidance for homeless service providers to plan and respond to coronavirus disease 2019 (COVID-19),0
Why You Probably Don’t Need to Worry About Catching COVID-19 from Food,0
Tiny airborne particles may carry the new coronavirus,0
Public Health Communicators: Get Your Community Ready,0
Dispatches from the Data Jungle of COVID-19,0
The April 22 jump in COVID-19 cases in the United States was related to the election.,1
"No, Face Masks Can’t Cause CO2 Poisoning",0
"California Sets Record 500,000 COVID-19 Cases",0
Restaurants and Bars Decision Tool,0
The effect of the COVID-19 pandemic on primary healthcare,0
"COVID-19 in Pregnancy, Worse C-Section Outcomes",0
States Tighten Restrictions as Coronavirus Rages,0
COVID-19: 3-drug combo treatment may be successful,0
Study suggests a protein may predict severe COVID-19,0
A study of 455 contacts of an asymptomatic carrier showed that none of the 455 were infected. The results prove that asymptomatic people cannot transmit COVID-19 and masks are therefore unnecessary. Some also claim that this shows COVID-19 is not contagious.,1
Thieves are handing out chemically doused face masks to knock people out before robbing them.,1
"Sore throat and headache: Causes, treatment, and prevention",0
"Update: COVID-19 Among Workers in Meat and Poultry Processing Facilities - United States, April-May 2020",0
Tanker train marked with ÒCOVID-19Ó on its side.,1
Nitric oxide may be an effective treatment for COVID-19,0
Confidentiality and Consent,0
"NIH clinical trial of hydroxychloroquine, a potential therapy for COVID-19, begins",0
Individual Response to COVID-19 'as Important' as Government Action,0
New COVID-19 Cases Spike Again in Florida,0
WHO: People living longer and healthier lives but COVID-19 threatens to throw progress off track,0
ACC Cancels Scientific Sessions Over Novel Coronavirus,0
Researchers Identify Multiple Molecules That Shut Down SARS-Cov-2 Polymerase Reaction,0
Criteria for Return to Work for Healthcare Personnel with Confirmed or Suspected (COVID-19),0
"U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers September 29, 2019 - April 4, 2020 Data as of April 9, 2020""",0
Asking This One Question May Help Slow Down Coronavirus Outbreak,0
Most N95 Masks From China Don't Meet US Standards,0
"Virus in the Blood Can Predict Severe COVID-19, Researchers Find",0
"Maternal Transmission of COVID-19 to Baby During Pregnancy Is Uncommon, Study Finds",0
Testing for COVID-19,0
COVID-19 and Seasonal Allergies FAQs,0
"COVID-19 Exposes Potential Gaps in PPE Training, Effectiveness",0
No Staff COVID-19 Diagnoses After Plan at Chinese Cancer Center,0
Risk of Severe COVID May Hinge on Type of Asthma,0
"Cuomo accurately says that other countries that reopened saw an increase in coronavirus infections""",0
"President Trump, First Lady Test Positive for COVID",0
COVID-19 Likely Seasonal,0
U.S. House Speaker Nancy Pelosi was in Wuhan China six days after the impeachment proceedings against President Trump ended.,1
Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers,0
What Waste Collectors and Recyclers Need to Know about COVID-19,0
Coronavirus Disease 2019 Information for Travel (New Travel Alerts),0
Cleaning and Disinfection for Non-emergency Transport Vehicles,0
"More States, Cities Require Face Masks in Public",0
Walmart Amazon Kroger Target and Costco “have not had any reported (coronavirus) cases in the news.”,1
"Notes from the Field: Seroprevalence Estimates of SARS-CoV-2 Infection in Convenience Sample - Oregon, May 11-June 15, 2020",0
50 NYC School Employees Have Died of COVID-19,0
People with Asthma and COVID-19,0
